subj_id,date,computer,experimenter,version,generation,inherit_from,sight_radius,n_gabors,block_ix,landscape_name,starting_pos,starting_score,trial,pos,stims,selected,rt,score,delta,exp_time,landscape_ix
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,2,SimpleHill,0-0,1,15,24-18,24-16;17-13;20-10;24-23;15-16;31-12,15-16,3.72,53,-14,1269.770883,1
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,2,SimpleHill,0-0,1,16,15-16,8-20;8-11;18-9;13-13;14-9;9-12,13-13,3.26,46,-7,1277.081579,1
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,2,SimpleHill,0-0,1,17,13-13,9-22;8-8;12-5;22-10;15-4;19-14,19-14,3.29,55,9,1284.444751,1
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,2,SimpleHill,0-0,1,18,19-14,19-7;12-21;21-9;21-21;26-14;12-12,21-Dec,2.12,55,0,1290.647182,1
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,2,SimpleHill,0-0,1,19,21-Dec,14-22;13-19;10-20;21-17;4-20;9-30,21-17,1.35,62,7,1296.0559150000001,1
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,2,SimpleHill,0-0,1,20,21-17,20-13;18-26;24-19;27-16;23-21;28-16,27-16,2.12,67,5,1302.244824,1
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,2,SimpleHill,0-0,1,21,27-16,19-11;20-16;19-13;33-20;21-23;31-14,20-16,0.98,59,-8,1307.2916599999999,1
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,2,SimpleHill,0-0,1,22,20-16,17-16;22-15;21-10;19-10;18-13;19-14,18-13,0.61,53,-6,1311.954982,1
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,2,SimpleHill,0-0,1,23,18-13,12-13;17-12;24-15;19-6;11-13;18-17,24-15,0.5,62,9,1316.512943,1
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,2,SimpleHill,0-0,1,24,24-15,24-20;24-5;24-24;18-21;32-14;18-14,18-21,0.49,63,1,1321.075893,1
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,2,SimpleHill,0-0,1,25,18-21,22-24;16-30;15-23;26-27;13-28;18-24,22-24,0.82,71,8,1325.976445,1
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,2,SimpleHill,0-0,1,26,22-24,20-24;20-23;17-32;25-33;15-29;24-22,17-32,0.65,72,1,1330.697499,1
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,2,SimpleHill,0-0,1,27,17-32,23-30;13-27;16-27;15-33;19-24;18-34,18-34,0.34,75,3,1335.104584,1
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,2,SimpleHill,0-0,1,28,18-34,20-26;20-36;15-38;15-28;27-36;23-38,20-36,0.4,79,4,1339.560886,1
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,2,SimpleHill,0-0,1,29,20-36,13-35;15-37;15-30;14-35;24-29;11-34,14-35,0.39,70,-9,1343.9984279999999,1
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,2,SimpleHill,0-0,1,30,14-35,12-26;9-40;23-31;16-29;12-40;11-28,Sep-40,0.48,65,-5,1348.549324,1
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,2,SimpleHill,0-0,1,31,Sep-40,15-38;5-40;2-47;4-47;4-38;9-30,Feb-47,0.36,54,-11,1352.974972,1
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,2,SimpleHill,0-0,1,32,Feb-47,2-57;10-50;9-51;2-41;11-43;5-46,May-46,0.44,60,6,1357.471847,1
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,2,SimpleHill,0-0,1,33,May-46,6-54;0-40;6-51;13-46;7-53;1-53,13-46,0.42,73,13,1361.953841,1
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,2,SimpleHill,0-0,1,34,13-46,16-50;5-50;12-43;5-43;5-41;16-45,Dec-43,0.8,71,-2,1366.835419,1
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,2,SimpleHill,0-0,1,35,Dec-43,5-38;3-46;2-43;15-47;16-35;11-35,16-35,0.45,73,2,1371.338356,1
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,2,SimpleHill,0-0,1,36,16-35,10-33;25-34;26-35;21-28;15-40;13-28,25-34,0.25,83,10,1375.639453,1
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,2,SimpleHill,0-0,1,37,25-34,27-35;21-37;28-38;22-42;30-42;34-33,22-42,0.46,84,1,1380.175416,1
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,2,SimpleHill,0-0,1,38,22-42,29-35;17-47;20-36;30-45;18-51;22-50,22-50,0.25,85,1,1384.5076960000001,1
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,2,SimpleHill,0-0,1,39,22-50,16-42;21-41;28-48;20-45;17-56;22-48,16-42,0.27,76,-9,1388.8551220000002,1
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,2,SimpleHill,0-0,1,40,16-42,20-43;12-40;24-46;22-49;20-45;7-45,24-46,0.45,87,11,1393.378146,1
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,2,SimpleHill,0-0,1,41,24-46,18-48;20-50;26-41;23-55;21-49;20-41,23-55,0.38,85,-2,1397.8402640000002,1
