subj_id,date,computer,experimenter,instructions,sight_radius,n_gabors,start_pos_list_ix,start_pos_list,landscape_ix,landscape_name,starting_pos,starting_score,trial,feedback,pos,stims,selected,rt,score,delta,exp_time
GEMS126,2018_Mar_07_1228,Elaine,sf,spatial_frequency,8,6,0,0-0;0-0;0-0;0-0,2,SimpleHill,0-0,0,26,selected,16-41,14-45;15-35;18-45;12-41;22-43;17-42,17-42,2.29,76,1,1228.24930372
GEMS126,2018_Mar_07_1228,Elaine,sf,spatial_frequency,8,6,0,0-0;0-0;0-0;0-0,2,SimpleHill,0-0,0,27,selected,17-42,14-47;21-48;20-36;15-39;14-39;21-38,21-38,2.43,80,4,1234.26494632
GEMS126,2018_Mar_07_1228,Elaine,sf,spatial_frequency,8,6,0,0-0;0-0;0-0;0-0,2,SimpleHill,0-0,0,28,selected,21-38,22-37;22-42;18-38;14-36;20-34;21-45,18-38,1.92,76,-4,1239.75191679
GEMS126,2018_Mar_07_1228,Elaine,sf,spatial_frequency,8,6,0,0-0;0-0;0-0;0-0,2,SimpleHill,0-0,0,29,selected,18-38,23-39;19-32;25-38;17-39;13-36;26-38,13-36,7.09,68,-8,1250.43091428
GEMS126,2018_Mar_07_1228,Elaine,sf,spatial_frequency,8,6,0,0-0;0-0;0-0;0-0,2,SimpleHill,0-0,0,30,selected,13-36,8-40;7-40;19-36;19-41;7-37;12-43,19-41,2.31,79,11,1256.31363623
GEMS126,2018_Mar_07_1228,Elaine,sf,spatial_frequency,8,6,0,0-0;0-0;0-0;0-0,2,SimpleHill,0-0,0,31,selected,19-41,21-36;21-40;22-43;20-35;20-42;18-43,20-42,3.72,80,1,1263.59733869
GEMS126,2018_Mar_07_1228,Elaine,sf,spatial_frequency,8,6,0,0-0;0-0;0-0;0-0,2,SimpleHill,0-0,0,32,selected,20-42,25-48;26-39;19-44;14-41;14-44;27-45,14-41,5.73,72,-8,1272.89228728
GEMS126,2018_Mar_07_1228,Elaine,sf,spatial_frequency,8,6,0,0-0;0-0;0-0;0-0,2,SimpleHill,0-0,0,33,selected,14-41,18-41;19-40;13-47;8-46;10-46;18-44,10-46,8.17,67,-5,1284.64739731
GEMS126,2018_Mar_07_1228,Elaine,sf,spatial_frequency,8,6,0,0-0;0-0;0-0;0-0,2,SimpleHill,0-0,0,34,selected,10-46,11-40;13-49;9-45;13-44;14-52;14-49,11-40,2.4,67,0,1290.60104632
GEMS126,2018_Mar_07_1228,Elaine,sf,spatial_frequency,8,6,0,0-0;0-0;0-0;0-0,2,SimpleHill,0-0,0,35,selected,11-40,18-37;9-38;8-44;11-40;15-38;6-41,15-38,2.49,72,5,1296.64297203
GEMS126,2018_Mar_07_1228,Elaine,sf,spatial_frequency,8,6,0,0-0;0-0;0-0;0-0,2,SimpleHill,0-0,0,36,selected,15-38,9-40;15-40;9-42;17-45;13-37;9-36,13-37,1.19,69,-3,1301.41021358
